0;;
1;;
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
11;;
12;;
13;;
14;;
15;;
16;;
17;;
18;;
19;;
20;;
21;;
22;;
23;;
24;;
25;;
26;;
27;;
28;;
29;;
30;;
31;;
32;;
33;;
34;;
35;;
36;;
37;;
38;;
39;;
40;;
41;;
42;;
43;;
44;;
45;;
46;;
47;;
48;;
49;;
50;;
51;;
52;;
53;;
54;;
55;;
56;;
57;;
58;;
59;;
60;;
61;;
62;;
63;;
64;;
65;;
66;;
67;;
68;;
69;;
70;;
71;;
72;;
73;;
74;;
75;;
76;;
77;;
78;;
79;;
80;;
81;;
82;;
83;;
84;;
85;;
86;;
87;;
88;;
89;;
90;;
91;;
92;;
93;;
94;;
95;;
96;;
97;;
98;;
99;;
100;;
101;;
102;;
103;;
104;;
105;;
106;;
107;;
108;;
109;;
110;;
111;;
112;;
113;;
114;;
115;;
116;;
117;;
118;;
119;;
120;;
121;;
122;;
123;;
124;;
125;;
126;;
127;;
128;;
129;;
130;;
131;;
132;;
133;;
134;;
135;;
136;;
137;;
138;;
139;;
140;;
141;;
142;;
143;;
144;;
145;;
146;;
147;;
148;;
149;;
150;;
151;;
152;;
153;;
154;;
155;;
156;;
157;;
158;;
159;;
160;;
161;;
162;;
163;;
164;;
165;;
166;;
167;;
168;;
169;;
170;;
171;;
172;;
173;;
174;;
175;;
176;;
177;;
178;;
179;;
180;;
Game on!;gameon;
Match on!;matchon;
Gameon!;gameon;
Matchon!;matchon;
Let's play!;gameon;matchon;
It's time to throw!;gameon;matchon;
Ready, set, go!;gameon;matchon;
Let the competition begin!;gameon;matchon;
Let's start the game!;gameon;matchon;
Dart away!;gameon;matchon;
The game is afoot!;gameon;matchon;
Let's get this show on the road!;gameon;matchon;
Let the darts fly!;gameon;matchon;
Let's throw down!;gameon;matchon;
Let's do this!;gameon;matchon;
It's time to play!;gameon;matchon;
Let the games begin!;gameon;matchon;
The competition starts now!;gameon;matchon;
Get ready to rumble!;gameon;matchon;
Let's get started!;gameon;matchon;
Let's kick things off!;gameon;matchon;
The fun begins now!;gameon;matchon;
Let the challenge begin!;gameon;matchon;
Game shot!;gameshot;
Gameshot!;gameshot;
Match shot!;matchshot;
Gameshot and Match!;matchshot;
Game and Match!;matchshot;
Game and the Match!;matchshot;
Game and Match to:;matchshot;
Matchshot!;matchshot;
Winning throw;gameshot;matchshot;
Victory!;gameshot;matchshot;
Winning shot;gameshot;matchshot;
Game-winning throw;gameshot;matchshot;
The shot to end the game.;gameshot;matchshot;
Clutch shot;gameshot;matchshot;
Winning move;gameshot;matchshot;
Winning strike;gameshot;matchshot;
Winning hit;gameshot;matchshot;
Busted;busted;
Bust;busted;
No score;busted;
Zero;busted;
Nada;busted;
Blank;busted;
Goose egg;busted;
Zilch;busted;
Whiff;busted;
Airball;busted;
You require;you_require;
You need;you_require;
You must score;you_require;
You're aiming for;you_require;
The target is;you_require;
The goal is to get;you_require;
The objective is to hit;you_require;
Your aim is to score;you_require;
You're looking to achieve;you_require;
The requirement is to hit.;you_require;
Double;double;
Triple;triple;
Outside;outside;
Bull;sbull;bull;
Machine;bot;bot level 1;bot level 2;bot level 3;bot level 4;bot level 5;bot level 6;bot level 7;bot level 8;bot level 9;bot level 10;bot level 11;
CPU;bot;bot level 1;bot level 2;bot level 3;bot level 4;bot level 5;bot level 6;bot level 7;bot level 8;bot level 9;bot level 10;bot level 11;
Robot;bot;bot level 1;bot level 2;bot level 3;bot level 4;bot level 5;bot level 6;bot level 7;bot level 8;bot level 9;bot level 10;bot level 11;
Computer;bot;bot level 1;bot level 2;bot level 3;bot level 4;bot level 5;bot level 6;bot level 7;bot level 8;bot level 9;bot level 10;bot level 11;
PC;bot;bot level 1;bot level 2;bot level 3;bot level 4;bot level 5;bot level 6;bot level 7;bot level 8;bot level 9;bot level 10;bot level 11;
Competitor;bot;bot level 1;bot level 2;bot level 3;bot level 4;bot level 5;bot level 6;bot level 7;bot level 8;bot level 9;bot level 10;bot level 11;
Circuit;bot;bot level 1;bot level 2;bot level 3;bot level 4;bot level 5;bot level 6;bot level 7;bot level 8;bot level 9;bot level 10;bot level 11;
Luca;;
Maurice;;
Thorben;;
Michael;;
Daniel;;
Claudia;;
Peter;;
Sonja;;
Lena;;
Jan;;
Dimitri;;
Salar;;
Thomas;;
Julian;;
Tammy;;
Bene;;
Josi;;
Jonathan;;
